column,type,label,description
WZ_LAW_OFFCR_IND,text,Work Zone Patrolman Flag	,"Did Work zone have a patrolman? (Y/N) 0 = No, 1 = Yes"
WZ_LN_CLOSURE,text,Work Zone Lane Closure Flag	,"Did Work zone have a patrolman? (Y/N) 0 = No, 1 = Yes"
WZ_MOVING,text,Work Zone Moving Flag	,"Was there moving work in the zone? (Y/N) 0 = No, 1 = Yes"
WZ_OTHER,text,Work Zone Special Flag	,"Was this a special type of work zone? (Y/N) 0 = No, 1 = Yes"
WZ_SHLDER_MDN,text,Work Zone Shoulder/Median Flag	,"Was a median/shoulder in the zone?; (Y/N) 0 = No, 1 = Yes"
FLAG_CRN,text,,Crash Record Number
INTERSTATE,int4,Interstate Flag	,"Non-Turnpike Interstate Indicator; 0 = No, 1 = Yes"
STATE_ROAD,int4,State Road Flag	,"State Road Indicator; 0 = No, 1 = Yes"
LOCAL_ROAD,int4,Local Road Flag	,"Local Road Indicator; 0 = No, 1 = Yes"
LOCAL_ROAD_ONLY,int4,Local Road Only Flag	,"Local Road Only Indicator; 0 = No, 1 = Yes"
TURNPIKE,int4,Turnpike Flag	,"Turnpike Indicator; 0 = No, 1 = Yes"
WET_ROAD,int4,Wet Road Flag	,"Wet Road Indicator; 0 = No, 1 = Yes"
SNOW_SLUSH_ROAD,int4,Snow Slush Road Flag	,"Snow Slush Road Indicator; 0 = No, 1 = Yes"
ICY_ROAD,int4,Icy Road Flag	,"Icy Road Indicator; 0 = No, 1 = Yes"
SUDDEN_DEER,int4,Sudden Deer Flag	,"Sudden Deer Indicator; 0 = No, 1 = Yes
"
SHLDR_RELATED,int4,Shoulder Related Flag	,"Shoulder Related Indicator; 0 = No, 1 = Yes"
REAR_END,int4,Read End Flag	,"Rear End Collision Indicator; 0 = No, 1 = Yes"
HO_OPPDIR_SDSWP,int4,Head On/Opposite Direction Flag	,"Head on or Side Swipe Indicator; 0 = No, 1 = Yes"
HIT_FIXED_OBJECT,int4,Hit Fixed Object Flag	,"Hit Fixed Object Indicator; 0 = No, 1 = Yes"
SV_RUN_OFF_RD,int4,Single Vehicle Run Off Road Flag	,"Single Vehicle Run Off Road Indicator; 0 = No, 1 = Yes"
WORK_ZONE,int4,Work Zone Flag	,"Work Zone Indicator; 0 = No, 1 = Yes"
PROPERTY_DAMAGE_ONLY,int4,Property Damage Only Flag	,"Property Damage Only Indicator; 0 = No, 1 = Yes"
FATAL_OR_MAJ_INJ,int4,Fatal or Suspected Serious Injury Flag	,"The crash has at least one person who was killed or sustained a Major Injury; 0 = No, 1 = Yes"
INJURY,int4,Injury Flag	,"Injury Indicator; 0 = No, 1 = Yes"
FATAL,int4,Fatality Flag	,"Fatality Indicator; 0 = No, 1 = Yes"
NON_INTERSECTION,int4,Non-Intersecetion Flag	,"Non Intersection Indicator; 0 = No, 1 = Yes"
INTERSECTION,int4,Intersection Flag	,"Intersection Indicator; 0 = No, 1 = Yes"
SIGNALIZED_INT,int4,Signalized Intersection Flag	,"The crash took place at a Signalized Intersection	
Signalized Intersection Indicator; 0 = No, 1 = Yes"
STOP_CONTROLLED_INT,int4,Stop Controlled Intersection,"The crash took place at a Stop Controlled Intersection? 0 = No, 1 = Yes"
UNSIGNALIZED_INT,int4,Unsignalized Intersection,"The crash took place at an unsignalized Intersection Indicator; 0 = No, 1 = Yes"
SCHOOL_BUS,int4,School Bus Flag,"The crash involved at least one School Bus ? 0 = No, 1 = Yes"
SCHOOL_ZONE,int4,School Zone Flag,"The crash took place in a School Zone? 0 = No, 1 = Yes"
HIT_DEER,int4,Hit Deer Flag,"At least one unit Hit a Deer; 0 = No, 1 = Yes"
HIT_TREE_SHRUB,int4,Hit Tree or Shrub Flag,"At least one unit hit a Hit Tree or Shrub ?; 0 = No, 1 = Yes"
HIT_EMBANKMENT,int4,Hit Embankment Flag,"At least one unit Hit Embankment? 0 = No, 1 = Yes"
HIT_POLE,int4,Hit Pole Flag,"At least one unit Hit a Pole? 0 = No, 1 = Yes"
HIT_GDRAIL,int4,Hit Guide Rail Flag,"At least one unit hit a guide rail? 0 = No, 1 = Yes"
HIT_GDRAIL_END,int4,Hit Guide Rail End Flag,"At least one unit hit a guide rail end flag? 0 = No, 1 = Yes"
HIT_BARRIER,int4,Hit Barrier Flag,"Hit Barrier Indicator; 0 = No, 1 = Yes"
HIT_BRIDGE,int4,Hit Bridge Flag,"Hit Bridge Indicator; 0 = No, 1 = Yes"
OVERTURNED,int4,Overturned Vehicle Indicator,"The crash involved at least one Overturned Vehicle? 0 = No, 1 = Yes"
MOTORCYCLE,int4,Motorcycle Indicator,"The crash involved at least one Motorcycle? 0 = No, 1 = Yes"
BICYCLE,int4,Bicycle Indicator,"A Bicycle was involved? 0 = No, 1 = Yes"
HVY_TRUCK_RELATED,int4,Heavy Truck Related Flag,"At Least one Heavy Truck was involved? 0 = No, 1 = Yes"
VEHICLE_FAILURE,int4,Vehicle Failure Indicator,"the crash involve At least one Vehicle Failure that contributed to the crash? 0 = No, 1 = Yes"
TRAIN_TROLLEY,int4,Train or Trolley Indicator,"Train or Trolley Indicator; 0 = No, 1 = Yes"
PHANTOM_VEHICLE,int4,Phantom Vehicle Indicator,"The crash involved at least one Unit that contributed to the crash but did not have any harmful events? 0 = No, 1 = Yes"
ALCOHOL_RELATED,int4,Alcohol Related Indicator,"Alcohol Related Indicator; 0 = No, 1 = Yes"
DRINKING_DRIVER,int4,Drinking Driver Indicator,"Drinking Driver Indicator; 0 = No, 1 = Yes"
UNDERAGE_DRNK_DRV,int4,Under Age drinking driver Indicator,"Under Age drinking driver Indicator; 0 = No, 1 = Yes"
UNLICENSED,int4,Unlicensed Driver Indicator,"Unlicensed Driver Indicator; 0 = No, 1 = Yes"
CELL_PHONE,int4,Driver Using Cell Phone Indicator,"Driver Using Cell Phone Indicator; 0 = No, 1 = Yes"
NO_CLEARANCE,int4,No Clearance Indicator,"No Clearance Indicator; 0 = No, 1 = Yes"
RUNNING_RED_LT,int4,Driver Running Red Light Indicator,"Driver Running Red Light Indicator; 0 = No, 1 = Yes"
TAILGATING,int4,Tailgating Indicator,"Tailgating Indicator; 0 = No, 1 = Yes"
CROSS_MEDIAN,int4,Cross Median Indicator,"Cross Median Indicator; 0 = No, 1 = Yes"
CURVE_DVR_ERROR,int4,Curve in Road Driver Error Indicator,"Curve in Road Driver Error Indicator; 0 = No, 1 = Yes"
LIMIT_65MPH,int4,Limit 65MPH,The Crash took place on a roadway that had a posted Speed limit of 65 Miles Per Hour
SPEEDING,int4,Speeding Indicator,"Speeding Indicator; 0 = No, 1 = Yes"
SPEEDING_RELATED,int4,Speeding Related Indicator,"Speeding Related Indicator; 0 = No, 1 = Yes"
AGGRESSIVE_DRIVING,int4,Aggressive Driving Indicator,"Aggressive Driving Indicator; 0 = No, 1 = Yes"
FATIGUE_ASLEEP,int4,Fatigue or Asleep Indicator,"Fatigue or Asleep Indicator; 0 = No, 1 = Yes"
DRIVER_16YR,int4,Driver is 16 Years of Age,"Driver is 16 Years of Age ; 0 = No, 1 = Yes"
DRIVER_17YR,int4,Driver is 17 Years of Age Indicator,"Driver is 17 Years of Age Indicator; 0 = No, 1 = Yes"
DRIVER_65_74YR,int4,Driver is between 65 and 74 Indicator,"Driver is between 65 and 74 Indicator; 0 = No, 1 = Yes"
DRIVER_75PLUS,int4,Driver is 75 Years of Age Plus Indicator,"Driver is 75 Years of Age Plus Indicator; 0 = No, 1 = Yes"
UNBELTED,int4,Anyone in crash unbelted indicator,"Anyone in crash unbelted indicator; 0 = No, 1 = Yes"
PEDESTRIAN,int4,Pedestrian Indicator,"Pedestrian Indicator; 0 = No, 1 = Yes"
DISTRACTED,int4,Distracted Driver Indicator,"Distracted Driver Indicator; 0 = No, 1 = Yes"
CURVED_ROAD,int4,Curve in Road,"Curved Road;  0 = No, 1 = Yes"
DRIVER_18YR,int4,Driver is 18 Years of Age Indicator,"Driver is 18 Years of Age Indicator; 0 = No, 1 = Yes"
DRIVER_19YR,int4,Driver is 19 Years of Age Indicator,"Driver is 19 Years of Age Indicator; 0 = No, 1 = Yes"
DRIVER_20YR,int4,Driver is 20 Years of Age Indicator,"Driver is 20 Years of Age Indicator; 0 = No, 1 = Yes"
DRIVER_50_64YR,int4,Driver is 50 to 64 Years of Age Indicator,"Driver is 50 to 64 Years of Age Indicator; 0 = No, 1 = Yes"
VEHICLE_TOWED,int4,Vehicle Towed Indicator,"Vehicle Towed Indicator; 0 = No, 1 = Yes"
FIRE_IN_VEHICLE,int4,Fire in Vehicle Flag,"At least 1 Vehicle with Fire Damage; 0 = No, 1 = Yes"
HIT_PARKED_VEHICLE,int4,Hit Parked Vehicle Indicator,"Hit Parked Vehicle Indicator; 0 = No, 1 = Yes"
MC_DRINKING_DRIVER,int4,Motorcycle Driver Drinking Flag,"At least 1 Motorcycle driver has reported or suspected Alcohol Use; 0 = No, 1 = Yes"
DRUGGED_DRIVER,int4,Drugged Driver Flag,
INJURY_OR_FATAL,int4,Injury or Fatal Flag,"At least 1 Person Was Injured or Killed in the Crash; 0 = No, 1 = Yes"
COMM_VEHICLE,int4,Commercial Vehicle Flag,"Crash has at least 1 involved Commercial Vehicle; 0 = No, 1 = Yes"
IMPAIRED_DRIVER,int4,Impaired Driver Flag,"At least One Driver was Impaired by Drugs or Alcohol; 0 = No, 1 = Yes"
DEER_RELATED,int4,Deer Related Flag,"Deer Related Indicator; 0 = No, 1 = Yes"
DRUG_RELATED,int4,Drug Related Flag,"Drug Related Indicator; 0 = No, 1 = Yes"
HAZARDOUS_TRUCK,int4,Hazardous Material Truck Flag,"At least one Heavy Truck carrying Hazardous Material; 0 = No, 1 = Yes"
ILLEGAL_DRUG_RELATED,int4,Illegal Drug Related Flag,"Illegal Drug Related indicator; 0 = No, 1 = Yes"
ILLUMINATION_DARK,int4,Dark Illumination Flag,"Illumination Indicates that the Crash Scene Lighting was Dark; 0 = No, 1 = Yes"
MINOR_INJURY,int4,Minor Injury ,"Minor Injury Indicator; 0 = No, 1 = Yes"
MODERATE_INJURY,int4,Moderate Injury,"Moderate Injury Indicator; 0 = No, 1 = Yes"
MAJOR_INJURY,int4,Major Injury,"Major Injury Indicator; 0 = No, 1 = Yes"
NHTSA_AGG_DRIVING,int4,NHTSA Aggressive Driving Flag	,The Crash meets the NHTSA definition of Aggressive Driving
PSP_REPORTED,int4,Pennsylvania State Police Reported Flag	,"Crash Investigated by the Pennsylvania State Police; 0 = No, 1 = Yes"
RUNNING_STOP_SIGN,int4,Running Stop Sign Flag	,"Driver Running Stop Sign? 0 = No, 1 = Yes"
TRAIN,int4,Train Flag," The crash involved a Train? 0 = No, 1 = Yes"
TROLLEY,int4,Trolley Flag," The crash involved a Trolley? 0 = No, 1 = Yes"
ROADWAY_CRN,text,,Crash Record Number
RDWY_SEQ_NUM,int4,Crash Roadway Sequence Number,Crash Roadway Sequence Number
ADJ_RDWY_SEQ,int4,Adjusted Roadway Sequence Number	,Adjusted Roadway Sequence Number
ACCESS_CTRL,text,Access Control Code,Access Control Code- only for state roads
ROADWAY_COUNTY,text,Roadway County,County Code Number where crash occurred
LANE_COUNT,int4,Lane Count,Travel Lane Count
RDWY_ORIENT,text,Roadway Orientation Code,"E - East
N - North
S - South
U - Unknown
W - West"
ROAD_OWNER,text,Road Owner,"Roadway maintained by state, local, or private jurisdiction. 

1 - Interstate - non turnpike
2 - State highway
3 - County road
4 - Local road or street
5 - East-West portion of turnpike
6 - Turnpike spur (extension)
7 - Private Road
9 - Other or Unknown"
ROUTE,text,Route Number,Route Number only for state roads
SPEED_LIMIT,int4,Speed Limit,Speed Limit of Roadway
SEGMENT,text,Segment Number,Segment Number– only for state roads	
OFFSET,int4,Offset within Segment,Offset (in feet) within the Segment – only for state roads	
STREET_NAME,text,Street Name,Name of the Roadway
TOT_INJ_COUNT,int4,Total Injury Count,Total Injuries	
SCHOOL_BUS_UNIT,text,,
